assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.813ee4e956d29a8e336c037b,148,GIFT_MENTION,பரிசில்,4,25,human_review_required
asrt.d82580e51a336982d782e043,152,RULER_MENTION,இறைவன்,19,0,human_review_required
asrt.b556de661668f74421cac825,152,FAUNA_MENTION,மான்,26,19,human_review_required
asrt.e46102e416a233054dd29672,152,GIFT_MENTION,ஈகை,32,6,human_review_required
asrt.f0cab107d66972eedf347488,152,WARFARE_MENTION,போர்,24,26,human_review_required
asrt.9fb433f0c52b5464eddea5f8,153,FAUNA_MENTION,யானை,2,7,human_review_required
asrt.fcc5f018ee3d387960d48739,153,FAUNA_MENTION,யானை,9,0,human_review_required
asrt.f6145cdb63e9c444be16c6cf,154,MUSIC_OR_PERFORMANCE,பாடல்,13,19,human_review_required
asrt.765bfa058e4ca4d9a8d18f83,158,GIFT_MENTION,ஈகை,7,5,human_review_required
asrt.739cb139697af6f3f47d58b0,159,GIFT_MENTION,பரிசில்,23,14,human_review_required
asrt.01047ec562eb03b97d0260ad,160,RULER_MENTION,குமணன்,11,23,human_review_required
asrt.c92bc41f7f0fe971ebc67d6d,161,WATER_BODY_MENTION,ஆறு,9,23,human_review_required
asrt.dfd8aba64dbcb1020877aee3,161,WARFARE_MENTION,வாள்,31,0,human_review_required
asrt.ca9d097e65d34360ff99be63,162,FAUNA_MENTION,யானை,6,8,human_review_required
asrt.fce613e5b22ad2c77b4b842d,162,GIFT_MENTION,பரிசில்,6,17,human_review_required
asrt.8d75ec0413f19b61e56d1674,163,RULER_MENTION,குமணன்,9,13,human_review_required
asrt.027660c3cb547e91d0510f44,165,FAUNA_MENTION,யானை,7,7,human_review_required
asrt.118dc33d9564a19800c184ae,167,WARFARE_MENTION,படை,2,0,human_review_required
asrt.9bb9b72c84a92e93e3865403,169,MOUNTAIN_OR_HILL_MENTION,குன்று,5,0,human_review_required
asrt.1470a66a909cb37899d21d74,169,GIFT_MENTION,பரிசில்,8,14,human_review_required
asrt.4787688b4f9cdc6383f70e15,170,FAUNA_MENTION,யானை,10,8,human_review_required
asrt.a155d0ea7c17496f3b27d568,173,COMMUNITY_MENTION,பாணர்,2,0,human_review_required
asrt.0ae186438be74a0734316dae,174,COMMUNITY_MENTION,மறவர்,12,12,human_review_required
asrt.98f9f6c90d6fba0348e12afc,177,FAUNA_MENTION,யானை,3,21,human_review_required
asrt.3107dd965a743fe02774b998,179,WARFARE_MENTION,படை,6,0,human_review_required
asrt.e553a3e961ed7ebbaf6806af,179,WARFARE_MENTION,வாள்,6,14,human_review_required
asrt.6e8d15047aec369b4f129b93,179,POLITICAL_RELATION,வேந்தன்,8,16,human_review_required
asrt.e1450d9d42d69a99001434d2,181,GIFT_MENTION,பரிசில்,10,11,human_review_required
asrt.108120b4fe6b7cccb95840bc,183,WATER_BODY_MENTION,ஆறு,7,13,human_review_required
asrt.4ac1630a217dd03da1817612,184,FAUNA_MENTION,யானை,10,0,human_review_required
asrt.1f5f1ecc39f820849d0a32ae,184,POLITICAL_RELATION,வேந்தன்,5,8,human_review_required
asrt.0a29aedebbb0cd93b60960ab,186,POLITICAL_RELATION,மன்னன்,2,0,human_review_required
asrt.302497e44a1a34075f3b136b,201,PERSON_MENTION,பாரி மகளிர்,5,9,human_review_required
asrt.d93085bd5fc4f7836fe2085f,201,KINSHIP_MENTION,தந்தை,6,0,human_review_required
asrt.f098300b9e4b88d7bc322b39,202,PERSON_MENTION,பாரி மகளிர்,15,6,human_review_required
asrt.cdc56f411f96d9c3438363ca,202,FLORA_MENTION,வேங்கை,18,29,human_review_required
